,const,Market,SMB,HML,RMW,CMA
AAPL,0.0003156239656867144,119.89928929654617,-5.466316737886083,-61.6534599485288,44.332765344197526,53.09667180399562
MSFT,0.00034823838519411864,110.25579585805266,-34.36671960919956,-38.167776202812725,32.70077575574417,-21.241516282890135
NVDA,0.0022018208166212027,190.5024010393787,-50.7867911558928,-75.7490099665548,0.10091444857880608,-28.277192917039567
GOOG,0.0004163951106751308,117.66982187792613,-26.435978953165648,-20.113337627068855,24.455190397942186,-41.98335681376089
META,0.0006071215071928112,138.60456094288787,-27.306662695297884,-38.69217547170749,20.422264876470162,-63.357877043142594
TSLA,0.00116202004369553,147.00090456983952,16.85799606858198,-28.600626559335897,-69.39593087855225,-88.39319777515234
AMZN,0.00016548218784549876,123.79266964029343,-39.56078681878104,-11.359090313145149,-11.4570832248266,-91.64028096296988
JPM,0.0003024539935762937,101.02058498564185,-18.320168457213484,99.21087448967182,-22.334113559061255,-40.019710532981826
BAC,1.0635603300638297e-05,112.33816306267906,-8.338552880483112,132.71262734567927,-41.14324415246363,-61.29233448315928
XOM,0.0007279317868802073,84.67730809735201,-33.14075567076916,105.1327199015327,-70.02256248804106,39.73386002907741
CVX,0.00024184966993063753,84.45316706511453,-27.83919245111946,95.13238645575511,-52.36352532180912,26.755340726365556
WMT,0.00043837749264437933,47.242413136559726,-6.501889198286399,-8.130857832509081,27.447537337355968,18.98460091590234
TGT,-0.0003613485744529909,96.57554028528298,40.92217714156314,-0.7152023167247872,36.243179412831275,-0.6592324582875639
HD,9.837474335455805e-05,87.66101864779301,45.61727322868567,-19.05555418137,66.0218590536288,3.061248437816004
NKE,-0.0008078150678670367,105.47404595459312,19.070753635375446,-16.55763441526354,33.94051663823612,-4.122261102092483
MCD,0.00010760555888039332,58.49699470676913,-11.03707664283266,-1.927938690292454,23.76498136161127,31.583548708237103
KO,-6.42084998822552e-05,53.19679605711382,-15.212754482398374,0.32789118703558223,33.91119607559007,30.678167456224053
PEP,-0.0001530868313051182,51.69059363105878,-22.248705484280585,-9.07231653580169,32.79911037263256,37.60364077683777
ORCL,0.0006477660980186041,102.86143565540823,-21.57170815610705,-2.779429080111438,42.2936938910953,7.421361177380826
IBM,0.0004285961890794346,71.26731025703248,-1.3266508195512594,22.88156742863402,14.171432694425054,38.04982617030322
CSCO,-8.925178709897155e-06,88.22554326220218,6.723795471899382,-7.044821168672616,40.912219527251196,32.350682152044435
QCOM,-0.00022435216223287095,149.85110324135633,5.891870246145529,-38.238244998736725,11.981343395631878,31.483236433361963
INTC,-0.0009999398838527068,136.517812747559,-8.833628338108968,-2.2918388678710926,-19.552883043962034,31.166588378458105
AVGO,0.0014689906539313725,150.27851829565898,-13.875090208458213,-63.12629907808561,30.493568206358063,56.970434541632635
ADBE,-0.0002105946239338788,119.77499189746852,-34.984283539886206,-45.038469642423514,3.070253277106327,-38.83122052178828
NFLX,0.0007524868214702267,109.43022915174612,-47.33660521477861,-27.30175150772553,-40.42186240603063,-81.43104045163531
AMD,0.0002768130800166142,168.27566980627466,-20.17443199146692,-43.549330330340496,-25.059340407598505,-43.03865534566482
CRM,0.00042680990241503517,114.33097234645822,-33.624442220529005,-16.435523903333696,-61.657250236852065,-32.127474120733055
PYPL,-0.0007072107036047269,120.05941667595714,8.660597242355097,-8.432364779471984,-72.38427969240851,-55.44014828762304
ABNB,0.00022531759195587546,129.7380290056293,28.997008926045503,-20.509078557684337,-80.30362451501462,-10.32309580860326
UBER,0.0006414864444551309,106.7257639300234,23.363527058624257,-8.145540541063076,-122.61267745628352,-57.67789213853384
LYFT,-0.00013286321011539155,113.71093728631644,116.40531452016874,-18.69772684944294,-116.99511556100647,-54.166880234057764
SPY,0.00011633511919371836,98.99100889084616,-9.573625146191949,1.3995837290691555,7.35785023369391,3.6723449774270103
CAT,0.0003325181646469903,107.89230124855322,21.605636809054374,81.75263994516165,-10.566148446700332,0.587767138844063
UPS,-0.00047718443968780116,88.70412853445399,10.616270158875434,22.406838885269543,27.88341969312705,-17.63839336501565
LOW,0.00017117997637458866,88.318034638621,58.39417224144661,-16.410195057789938,62.056824734218345,-4.4281830292491575
COST,0.0005693781184657391,85.4126301051669,-11.234828059898884,-34.65669909145004,48.97930061338813,16.978178993412392
GS,0.0004819655719161394,110.00549233328854,11.481572271296525,92.48426534141608,-18.333252591503523,-41.94951404077815
MS,0.000368977136632651,115.44738394814496,3.911024537857724,92.76554290342798,-33.133916140438245,-42.23242882221598
GE,0.0007183099878009606,112.77824531134274,20.698661654109866,35.00741563454309,-1.4000819646814027,25.92809119849964
F,-4.3037629479958584e-05,139.35815190962043,54.046578984697916,59.18389685816987,1.240559181228048,-12.98316950379715
GM,-8.186085223052222e-05,129.63686931295666,49.20142919383189,68.67761377774261,-9.914838176461778,-30.82606452829937
UNH,0.00015001941630382232,59.40451132739812,-19.17499392243318,11.513422095981191,22.061248457110537,25.263127471642452
PFE,-0.0004284504749740353,47.899592585702436,-16.692830999198133,4.867928916201652,2.2097891807305743,41.35424709076888
MRK,0.0001739536724059782,37.79257973270914,-19.80022697881531,3.656861194455128,10.481229857247213,38.773499915139986
BA,-0.0003885357891422786,113.48638635717155,32.69789028572094,21.691611164847494,-38.456030541604285,31.443209786158384
LMT,0.00021266946173344908,42.82558264766487,-19.48983145043299,24.126689439893582,-5.065346591886435,39.44981714843294
SBUX,-0.00033274768056090504,98.31110064246343,2.355605579525019,-17.420258308337893,20.94812874785689,25.226830227843816
DIS,-0.00047579547908860873,93.2898680702876,-3.569822544656955,43.91459157972486,-36.12755816520455,-49.537822601969594
BK,0.00026705946725431656,102.35747313045297,-4.370368655301555,96.51111456097286,-18.556793934523057,-42.35780362939802
